code,name,branch,combination,amout_2016,score_2016,amount_2017
LPH,Đại học Luật Hà Nội,Luật,A00,1480,23.25,1480
LPH,Đại học Luật Hà Nội,Luật,C00,1480,26.25,1480
LPH,Đại học Luật Hà Nội,Luật,D01,1480,21.75,1480
LPH,Đại học Luật Hà Nội,Luật Kinh tế,A00,300,25.25,300
LPH,Đại học Luật Hà Nội,Luật Kinh tế,C00,300,28,300
LPH,Đại học Luật Hà Nội,Luật Kinh tế,D01,300,23.75,300
LPH,Đại học Luật Hà Nội,Luật Thương mại Quốc tế,D01,120,31.25,120
LPH,Đại học Luật Hà Nội,Ngôn ngữ Anh,D01,120,29.25,100
KTA,Đại học Kiến trúc Hà Nội,Cấp thoát nước,A00,150,16,300
KTA,Đại học Kiến trúc Hà Nội,Thiết kế đồ họa,H00,50,19.25,50
KTA,Đại học Kiến trúc Hà Nội,Thiết kế nội thất,H00,100,17.75,100
KTA,Đại học Kiến trúc Hà Nội,Công nghệ kỹ thuật vật liệu xây dựng,A00,50,16.25,100
KTA,Đại học Kiến trúc Hà Nội,Kiến trúc,V00,350,25.75,350
KTA,Đại học Kiến trúc Hà Nội,Quy hoạch vùng và đô thị,V00,150,23.75,150
KTA,Đại học Kiến trúc Hà Nội,Kiến trúc cảnh quan,V00,50,23,50
KTA,Đại học Kiến trúc Hà Nội,Xây dựng dân dụng và công nghiệp,A00,450,20.25,450
KTA,Đại học Kiến trúc Hà Nội,Xây dựng công trình ngầm đô thị,A00,50,19.75,100
KTA,Đại học Kiến trúc Hà Nội,Kỹ thuật hạ tầng đô thị,A00,100,18.75,300
KTA,Đại học Kiến trúc Hà Nội,Kỹ thuật môi trường đô thị,A00,50,16,300
KTA,Đại học Kiến trúc Hà Nội,Kinh tế xây dựng,A00,150,20.25,200
KTA,Đại học Kiến trúc Hà Nội,Quản lý xây dựng,A00,150,16.25,100
GHA,Đại học Giao thông Vận tải,Kỹ thuật xây dựng công trình giao thông,A00,888,20.16,888
GHA,Đại học Giao thông Vận tải,Kỹ thuật xây dựng công trình giao thông,A01,297,16.95,297
GHA,Đại học Giao thông Vận tải,Công nghệ thông tin,A00,150,22.5,150
GHA,Đại học Giao thông Vận tải,Công nghệ thông tin,A01,50,21.09,50
GHA,Đại học Giao thông Vận tải,Kỹ thuật cơ khí,A00,428,20.91,428
GHA,Đại học Giao thông Vận tải,Kỹ thuật cơ khí,A01,142,18.24,142
GHA,Đại học Giao thông Vận tải,"Kỹ thuật điện tử, truyền thông",A00,94,21.3,94
GHA,Đại học Giao thông Vận tải,"Kỹ thuật điện tử, truyền thông",A01,31,19.14,31
GHA,Đại học Giao thông Vận tải,Kỹ thuật điện điện tử,A00,94,21.99,94
GHA,Đại học Giao thông Vận tải,Kỹ thuật điện điện tử,A01,31,19.86,31
GHA,Đại học Giao thông Vận tải,Kỹ thuật điều khiển và tự động hóa,A00,90,22.71,90
